ticker,group,status,bucket,my_fv,ms_fv,ratio,date,note
AAPL,universe,done,COMPOUNDER,200,270,0.73,2026-06-09,documented divergence - 7% growth (above 3.3% CAGR but wont underwrite MS ~12% reaccel) + Medium unc (China/antitrust/Google-TAC/AI-lag) = $198; agree Wide moat + OVERVALUED at $295 (36x trailing)
GOOGL,universe,done,COMPOUNDER,390,433,0.90,2026-06-09,same company as GOOG (voting share class); identical 11% growth/32% margin = $390 vs MS $433; Wide moat 4 star undervalued; slight discount for search-remedy antitrust overhang
AVGO,universe,done,COMPOUNDER,450,650,0.69,2026-06-09,decelerate +48% AI-ASIC surge to 20% (vs model 27.5% cap) / 46% margin = $450; kept Medium unc (software annuity dampens vol vs MS High concentration); below MS but agree Wide moat + not-overvalued
BRK.A,universe,done,FINANCIAL,765000,765000,1.00,2026-06-09,holding co - DCF invalid; SOTP/normalized-PB ~1.5x book; =1500x BRK.B; Narrow moat Low unc; in line with MS
BRK.B,universe,done,FINANCIAL,510,510,1.00,2026-06-09,holding co - DCF invalid (model $341); SOTP/PB ~1.5x book (equity portfolio+wholly-owned ops+$340B cash); Narrow moat Low unc 4star; in line with MS
LLY,universe,done,COMPOUNDER,855,900,0.95,2026-06-09,decelerate +55% GLP-1 surge to 15% (vs model 28% cap)/41% margin + High unc (pharma regulated) = $854; agree Wide moat + OVERVALUED at $1135 (40x trailing); cut raw $3305 baseline 4x
MU,universe,done,CYCLICAL,130,455,0.29,2026-06-09,memory at cycle PEAK (op margin 67.6% TTM unsustainable; fwd PE 8.78=peak earnings); value mid-cycle 10% growth/22% margin = $103-130; agree MS None moat (model Narrow); both read OVERVALUED at $960; gap=HBM structural uplift skepticism
WMT,universe,done,STABLE,70,70,0.98,2026-06-09,5.5% growth/5.0% expanding margin (retail-media+membership mix shift) = $70 matched MS; agree Wide moat (model Narrow) + Low unc; both read OVERVALUED at $119 (42x trailing)
JPM,universe,done,FINANCIAL,310,311,1.00,2026-06-09,bank - DCF invalid (model $2179); normalized 15x PE x $20.5 EPS + 2.3-2.4x PB on 16.5% ROE = $310 matched MS; Wide moat Medium unc fairly valued
ASML,universe,done,CYCLICAL,1250,1400,0.89,2026-06-09,EUV monopoly Wide moat (agree); decelerate 19.8% CAGR to 13%/36% margin + Medium unc (China export controls+cyclicality vs MS None) = $1246; below MS; both fairly-to-modestly OVERVALUED at $1600 (54x)
XOM,universe,done,CYCLICAL,130,156,0.84,2026-06-09,energy major mid-cycle 4% growth/16% margin = $130; Narrow moat (low-cost integrated, agree MS); slightly below MS (MS ~17-18% margin/None unc); both fairly valued at $148
V,universe,done,COMPOUNDER,355,330,1.07,2026-06-09,payment network mis-tagged Financials; margin 65% real op (not 45%), uncertainty Medium override for DOJ/interchange risk
ORCL,universe,done,COMPOUNDER,150,220,0.68,2026-06-09,database stable + OCI AI-capex bet (FCF negative -$4.3B); 16% growth/33% margin/VeryHigh unc = $142; agree Narrow moat (model Wide)+VeryHigh unc; I read OVERVALUED at $213, MS fair; gap=OCI growth credit
JNJ,universe,pending,,,,,,
INTC,universe,pending,,,,,,
CSCO,universe,pending,,,,,,
MA,universe,pending,,,,,,
COST,universe,pending,,,,,,
ABBV,universe,pending,,,,,,
BAC,universe,pending,,,,,,
CVX,universe,pending,,,,,,
ARM,universe,pending,,,,,,
AMAT,universe,pending,,,,,,
NFLX,universe,pending,,,,,,
GE,universe,pending,,,,,,
KO,universe,pending,,,,,,
PG,universe,pending,,,,,,
MS,universe,pending,,,,,,
HD,universe,pending,,,,,,
GS,universe,pending,,,,,,
MRK,universe,pending,,,,,,
BABA,universe,pending,,,,,,
AZN,universe,pending,,,,,,
NVS,universe,pending,,,,,,
PM,universe,pending,,,,,,
RY,universe,pending,,,,,,
IBM,universe,pending,,,,,,
TXN,universe,pending,,,,,,
DELL,universe,pending,,,,,,
KLAC,universe,pending,,,,,,
GEV,universe,pending,,,,,,
WFC,universe,pending,,,,,,
RTX,universe,pending,,,,,,
LIN,universe,pending,,,,,,
SNDK,universe,pending,,,,,,
MRVL,universe,pending,,,,,,
QCOM,universe,pending,,,,,,
C,universe,pending,,,,,,
BHP,universe,pending,,,,,,
MCD,universe,pending,,,,,,
TTE,universe,pending,,,,,,
ADI,universe,pending,,,,,,
ANET,universe,pending,,,,,,
PEP,universe,pending,,,,,,
TMUS,universe,pending,,,,,,
STX,universe,pending,,,,,,
VZ,universe,pending,,,,,,
AMGN,universe,pending,,,,,,
APP,universe,pending,,,,,,
NEE,universe,pending,,,,,,
TJX,universe,pending,,,,,,
WDC,universe,pending,,,,,,
TMO,universe,pending,,,,,,
DIS,universe,pending,,,,,,
APH,universe,pending,,,,,,
BA,universe,pending,,,,,,
BLK,universe,pending,,,,,,
UNP,universe,pending,,,,,,
GILD,universe,pending,,,,,,
ABT,universe,pending,,,,,,
T,universe,pending,,,,,,
DE,universe,pending,,,,,,
SCHW,universe,pending,,,,,,
UBS,universe,pending,,,,,,
ETN,universe,pending,,,,,,
GLW,universe,pending,,,,,,
CRM,universe,pending,,,,,,
BUD,universe,pending,,,,,,
ISRG,universe,pending,,,,,,
PFE,universe,pending,,,,,,
WELL,universe,pending,,,,,,
SCCO,universe,pending,,,,,,
UBER,universe,pending,,,,,,
IBKR,universe,pending,,,,,,
COP,universe,pending,,,,,,
SHOP,universe,pending,,,,,,
BX,universe,pending,,,,,,
HON,universe,pending,,,,,,
PLD,universe,pending,,,,,,
DHR,universe,pending,,,,,,
SONY,universe,pending,,,,,,
BKNG,universe,pending,,,,,,
CB,universe,pending,,,,,,
SPGI,universe,pending,,,,,,
ENB,universe,pending,,,,,,
UL,universe,pending,,,,,,
CVS,universe,pending,,,,,,
PDD,universe,pending,,,,,,
LMT,universe,pending,,,,,,
MO,universe,pending,,,,,,
PGR,universe,pending,,,,,,
LOW,universe,pending,,,,,,
SYK,universe,pending,,,,,,
BMY,universe,pending,,,,,,
NOW,universe,pending,,,,,,
VRT,universe,pending,,,,,,
BMO,universe,pending,,,,,,
VRTX,universe,pending,,,,,,
COF,universe,pending,,,,,,
PH,universe,pending,,,,,,
ACN,universe,pending,,,,,,
SNY,universe,pending,,,,,,
EQIX,universe,pending,,,,,,
NEM,universe,pending,,,,,,
FTNT,universe,pending,,,,,,
MDT,universe,pending,,,,,,
SO,universe,pending,,,,,,
PWR,universe,pending,,,,,,
CDNS,universe,pending,,,,,,
MAR,universe,pending,,,,,,
GSK,universe,pending,,,,,,
SPOT,universe,pending,,,,,,
ADBE,universe,pending,,,,,,
TT,universe,pending,,,,,,
HWM,universe,pending,,,,,,
BN,universe,pending,,,,,,
CM,universe,pending,,,,,,
BNS,universe,pending,,,,,,
BNY,universe,pending,,,,,,
DUK,universe,pending,,,,,,
CNQ,universe,pending,,,,,,
GD,universe,pending,,,,,,
MCK,universe,pending,,,,,,
CME,universe,pending,,,,,,
ADP,universe,pending,,,,,,
UPS,universe,pending,,,,,,
PNC,universe,pending,,,,,,
FCX,universe,pending,,,,,,
CEG,universe,pending,,,,,,
AMT,universe,pending,,,,,,
ELV,universe,pending,,,,,,
CMI,universe,pending,,,,,,
SNPS,universe,pending,,,,,,
WM,universe,pending,,,,,,
NET,universe,pending,,,,,,
WMB,universe,pending,,,,,,
JCI,universe,pending,,,,,,
MNST,universe,pending,,,,,,
CSX,universe,pending,,,,,,
KKR,universe,pending,,,,,,
USB,universe,pending,,,,,,
CMCSA,universe,pending,,,,,,
DDOG,universe,pending,,,,,,
SNOW,universe,pending,,,,,,
HCA,universe,pending,,,,,,
SLB,universe,pending,,,,,,
AEM,universe,pending,,,,,,
EPD,universe,pending,,,,,,
MELI,universe,pending,,,,,,
NGG,universe,pending,,,,,,
INTU,universe,pending,,,,,,
MMM,universe,pending,,,,,,
ICE,universe,pending,,,,,,
SPG,universe,pending,,,,,,
CP,universe,pending,,,,,,
MRSH,universe,pending,,,,,,
MDLZ,universe,pending,,,,,,
ABNB,universe,pending,,,,,,
FDX,universe,pending,,,,,,
MCO,universe,pending,,,,,,
HLT,universe,pending,,,,,,
EMR,universe,pending,,,,,,
NOC,universe,pending,,,,,,
CI,universe,pending,,,,,,
MPC,universe,pending,,,,,,
VLO,universe,pending,,,,,,
SHW,universe,pending,,,,,,
RCL,universe,pending,,,,,,
BE,universe,pending,,,,,,
ORLY,universe,pending,,,,,,
NXPI,universe,pending,,,,,,
HOOD,universe,pending,,,,,,
GM,universe,pending,,,,,,
ROST,universe,pending,,,,,,
APO,universe,pending,,,,,,
COHR,universe,pending,,,,,,
BAM,universe,pending,,,,,,
SU,universe,pending,,,,,,
PSX,universe,pending,,,,,,
EOG,universe,pending,,,,,,
CNI,universe,pending,,,,,,
CVNA,universe,pending,,,,,,
MPWR,universe,pending,,,,,,
ITW,universe,pending,,,,,,
ECL,universe,pending,,,,,,
BSX,universe,pending,,,,,,
CTAS,universe,pending,,,,,,
TRP,universe,pending,,,,,,
CL,universe,pending,,,,,,
KMI,universe,pending,,,,,,
NSC,universe,pending,,,,,,
AEP,universe,pending,,,,,,
CRH,universe,pending,,,,,,
AON,universe,pending,,,,,,
TDG,universe,pending,,,,,,
CIEN,universe,pending,,,,,,
RKLB,universe,pending,,,,,,
DASH,universe,pending,,,,,,
MSI,universe,pending,,,,,,
LITE,universe,pending,,,,,,
URI,universe,pending,,,,,,
DLR,universe,pending,,,,,,
ET,universe,pending,,,,,,
REGN,universe,pending,,,,,,
B,universe,pending,,,,,,
WBD,universe,pending,,,,,,
HPE,universe,pending,,,,,,
FIX,universe,pending,,,,,,
RSG,universe,pending,,,,,,
MFC,universe,pending,,,,,,
TRV,universe,pending,,,,,,
APD,universe,pending,,,,,,
STM,universe,pending,,,,,,
BKR,universe,pending,,,,,,
TEL,universe,pending,,,,,,
RELX,universe,pending,,,,,,
PCAR,universe,pending,,,,,,
GWW,universe,pending,,,,,,
TFC,universe,pending,,,,,,
RACE,universe,pending,,,,,,
IMO,universe,pending,,,,,,
AFL,universe,pending,,,,,,
MDLN,universe,pending,,,,,,
SRE,universe,pending,,,,,,
F,universe,pending,,,,,,
D,universe,pending,,,,,,
NU,universe,pending,,,,,,
NUE,universe,pending,,,,,,
NBIS,universe,pending,,,,,,
LHX,universe,pending,,,,,,
MPLX,universe,pending,,,,,,
ALL,universe,pending,,,,,,
O,universe,pending,,,,,,
TRGP,universe,pending,,,,,,
OXY,universe,pending,,,,,,
KEYS,universe,pending,,,,,,
TER,universe,pending,,,,,,
CARR,universe,pending,,,,,,
TGT,universe,pending,,,,,,
FLEX,universe,pending,,,,,,
OKE,universe,pending,,,,,,
AJG,universe,pending,,,,,,
CRWV,universe,pending,,,,,,
MET,universe,pending,,,,,,
PSA,universe,pending,,,,,,
ALAB,universe,pending,,,,,,
FANG,universe,pending,,,,,,
FAST,universe,pending,,,,,,
COR,universe,pending,,,,,,
SE,universe,pending,,,,,,
WPM,universe,pending,,,,,,
CVE,universe,pending,,,,,,
DAL,universe,pending,,,,,,
AME,universe,pending,,,,,,
CTVA,universe,pending,,,,,,
MT,universe,pending,,,,,,
DVN,universe,pending,,,,,,
AZO,universe,pending,,,,,,
EA,universe,pending,,,,,,
ETR,universe,pending,,,,,,
ODFL,universe,pending,,,,,,
VST,universe,pending,,,,,,
LNG,universe,pending,,,,,,
ROK,universe,pending,,,,,,
EW,universe,pending,,,,,,
NDAQ,universe,pending,,,,,,
XEL,universe,pending,,,,,,
ADSK,universe,pending,,,,,,
EBAY,universe,pending,,,,,,
CAH,universe,pending,,,,,,
MCHP,universe,pending,,,,,,
FER,universe,pending,,,,,,
FITB,universe,pending,,,,,,
EXC,universe,pending,,,,,,
HEI,universe,pending,,,,,,
GRMN,universe,pending,,,,,,
ON,universe,pending,,,,,,
CCJ,universe,pending,,,,,,
STT,universe,pending,,,,,,
MSCI,universe,pending,,,,,,
DEO,universe,pending,,,,,,
FERG,universe,pending,,,,,,
IDXX,universe,pending,,,,,,
WAB,universe,pending,,,,,,
CLS,universe,pending,,,,,,
AU,universe,pending,,,,,,
MSTR,universe,pending,,,,,,
FNV,universe,pending,,,,,,
HUM,universe,pending,,,,,,
CCEP,universe,pending,,,,,,
BDX,universe,pending,,,,,,
YUM,universe,pending,,,,,,
KDP,universe,pending,,,,,,
ARES,universe,pending,,,,,,
GFS,universe,pending,,,,,,
BIDU,universe,pending,,,,,,
DHI,universe,pending,,,,,,
CCI,universe,pending,,,,,,
AMP,universe,pending,,,,,,
XYZ,universe,pending,,,,,,
ALNY,universe,pending,,,,,,
HLN,universe,pending,,,,,,
COIN,universe,pending,,,,,,
VIK,universe,pending,,,,,,
AIG,universe,pending,,,,,,
VTR,universe,pending,,,,,,
TEVA,universe,pending,,,,,,
TTWO,universe,pending,,,,,,
PEG,universe,pending,,,,,,
WCN,universe,pending,,,,,,
KR,universe,pending,,,,,,
AXON,universe,pending,,,,,,
ED,universe,pending,,,,,,
JD,universe,pending,,,,,,
ADM,universe,pending,,,,,,
TKO,universe,pending,,,,,,
STLD,universe,pending,,,,,,
ESLT,universe,pending,,,,,,
CBRE,universe,pending,,,,,,
A,universe,pending,,,,,,
CRDO,universe,pending,,,,,,
CCL,universe,pending,,,,,,
PCG,universe,pending,,,,,,
TRI,universe,pending,,,,,,
HSY,universe,pending,,,,,,
JBL,universe,pending,,,,,,
LYV,universe,pending,,,,,,
IRM,universe,pending,,,,,,
WEC,universe,pending,,,,,,
VMC,universe,pending,,,,,,
SYY,universe,pending,,,,,,
PYPL,universe,pending,,,,,,
EME,universe,pending,,,,,,
PRU,universe,pending,,,,,,
ASTS,universe,pending,,,,,,
HIG,universe,pending,,,,,,
PAYX,universe,pending,,,,,,
WAT,universe,pending,,,,,,
RKT,universe,pending,,,,,,
WDAY,universe,pending,,,,,,
MLM,universe,pending,,,,,,
UI,universe,pending,,,,,,
UAL,universe,pending,,,,,,
TWLO,universe,pending,,,,,,
HEI.A,universe,pending,,,,,,
KVUE,universe,pending,,,,,,
SATS,universe,pending,,,,,,
EQT,universe,pending,,,,,,
ROP,universe,pending,,,,,,
HBAN,universe,pending,,,,,,
RDDT,universe,pending,,,,,,
ZTS,universe,pending,,,,,,
LVS,universe,pending,,,,,,
QSR,universe,pending,,,,,,
NTAP,universe,pending,,,,,,
KMB,universe,pending,,,,,,
HAL,universe,pending,,,,,,
ALC,universe,pending,,,,,,
MTB,universe,pending,,,,,,
NTR,universe,pending,,,,,,
RPRX,universe,pending,,,,,,
EXR,universe,pending,,,,,,
PUK,universe,pending,,,,,,
ACGL,universe,pending,,,,,,
VG,universe,pending,,,,,,
RVMD,universe,pending,,,,,,
NTRS,universe,pending,,,,,,
KGC,universe,pending,,,,,,
CQP,universe,pending,,,,,,
TS,universe,pending,,,,,,
NTRA,universe,pending,,,,,,
CNC,universe,pending,,,,,,
IQV,universe,pending,,,,,,
BIP,universe,pending,,,,,,
DTE,universe,pending,,,,,,
AEE,universe,pending,,,,,,
TECK,universe,pending,,,,,,
EL,universe,pending,,,,,,
VICI,universe,pending,,,,,,
FSLR,universe,pending,,,,,,
RBLX,universe,pending,,,,,,
ZM,universe,pending,,,,,,
Q,universe,pending,,,,,,
AMRZ,universe,pending,,,,,,
RJF,universe,pending,,,,,,
CBOE,universe,pending,,,,,,
GEHC,universe,pending,,,,,,
FISV,universe,pending,,,,,,
DOV,universe,pending,,,,,,
BIIB,universe,pending,,,,,,
MTZ,universe,pending,,,,,,
CPRT,universe,pending,,,,,,
FTS,universe,pending,,,,,,
RMD,universe,pending,,,,,,
ATO,universe,pending,,,,,,
PBA,universe,pending,,,,,,
TPR,universe,pending,,,,,,
IR,universe,pending,,,,,,
CASY,universe,pending,,,,,,
EIX,universe,pending,,,,,,
MDB,universe,pending,,,,,,
VEEV,universe,pending,,,,,,
DXCM,universe,pending,,,,,,
FOXA,universe,pending,,,,,,
ONC,universe,pending,,,,,,
TSEM,universe,pending,,,,,,
CNP,universe,pending,,,,,,
TDY,universe,pending,,,,,,
EXPE,universe,pending,,,,,,
NRG,universe,pending,,,,,,
CPNG,universe,pending,,,,,,
CW,universe,pending,,,,,,
STRL,universe,pending,,,,,,
CFG,universe,pending,,,,,,
OTIS,universe,pending,,,,,,
AVB,universe,pending,,,,,,
PPL,universe,pending,,,,,,
TPL,universe,pending,,,,,,
JBHT,universe,pending,,,,,,
FE,universe,pending,,,,,,
VRSN,universe,pending,,,,,,
KHC,universe,pending,,,,,,
FTI,universe,pending,,,,,,
SYM,universe,pending,,,,,,
ES,universe,pending,,,,,,
FICO,universe,pending,,,,,,
MTSI,universe,pending,,,,,,
EQR,universe,pending,,,,,,
NVT,universe,pending,,,,,,
XYL,universe,pending,,,,,,
XPO,universe,pending,,,,,,
CINF,universe,pending,,,,,,
WRB,universe,pending,,,,,,
PPG,universe,pending,,,,,,
TEAM,universe,pending,,,,,,
HUBB,universe,pending,,,,,,
CTSH,universe,pending,,,,,,
FOX,universe,pending,,,,,,
SMCI,universe,pending,,,,,,
WTW,universe,pending,,,,,,
ILMN,universe,pending,,,,,,
BG,universe,pending,,,,,,
DOW,universe,pending,,,,,,
RF,universe,pending,,,,,,
AWK,universe,pending,,,,,,
STZ,universe,pending,,,,,,
ATI,universe,pending,,,,,,
WSM,universe,pending,,,,,,
IHG,universe,pending,,,,,,
FCNCA,universe,pending,,,,,,
CRS,universe,pending,,,,,,
FTAI,universe,pending,,,,,,
P,universe,pending,,,,,,
SYF,universe,pending,,,,,,
VRSK,universe,pending,,,,,,
KEY,universe,pending,,,,,,
BEP,universe,pending,,,,,,
HPQ,universe,pending,,,,,,
UTHR,universe,pending,,,,,,
MTD,universe,pending,,,,,,
LPLA,universe,pending,,,,,,
CHD,universe,pending,,,,,,
DG,universe,pending,,,,,,
BCE,universe,pending,,,,,,
MKL,universe,pending,,,,,,
PFG,universe,pending,,,,,,
TROW,universe,pending,,,,,,
CPAY,universe,pending,,,,,,
DRI,universe,pending,,,,,,
ROL,universe,pending,,,,,,
PHM,universe,pending,,,,,,
TW,universe,pending,,,,,,
NI,universe,pending,,,,,,
LEN,universe,pending,,,,,,
FN,universe,pending,,,,,,
CMS,universe,pending,,,,,,
WST,universe,pending,,,,,,
FFIV,universe,pending,,,,,,
DGX,universe,pending,,,,,,
L,universe,pending,,,,,,
SBAC,universe,pending,,,,,,
EXE,universe,pending,,,,,,
FWONK,universe,pending,,,,,,
RIVN,universe,pending,,,,,,
LEN.B,universe,pending,,,,,,
RL,universe,pending,,,,,,
LH,universe,pending,,,,,,
AKAM,universe,pending,,,,,,
CHRW,universe,pending,,,,,,
SNX,universe,pending,,,,,,
SW,universe,pending,,,,,,
AER,universe,pending,,,,,,
OMC,universe,pending,,,,,,
CRCL,universe,pending,,,,,,
WWD,universe,pending,,,,,,
AFRM,universe,pending,,,,,,
IONQ,universe,pending,,,,,,
FIS,universe,pending,,,,,,
ZS,universe,pending,,,,,,
VLTO,universe,pending,,,,,,
EXPD,universe,pending,,,,,,
DLTR,universe,pending,,,,,,
LYB,universe,pending,,,,,,
EFX,universe,pending,,,,,,
STE,universe,pending,,,,,,
CHTR,universe,pending,,,,,,
TSN,universe,pending,,,,,,
OKTA,universe,pending,,,,,,
STLA,universe,pending,,,,,,
SOFI,universe,pending,,,,,,
ROIV,universe,pending,,,,,,
INCY,universe,pending,,,,,,
INSM,universe,pending,,,,,,
MKSI,universe,pending,,,,,,
RCI,universe,pending,,,,,,
LUV,universe,pending,,,,,,
IOT,universe,pending,,,,,,
RS,universe,pending,,,,,,
ULTA,universe,pending,,,,,,
PAAS,universe,pending,,,,,,
NXT,universe,pending,,,,,,
BURL,universe,pending,,,,,,
BRO,universe,pending,,,,,,
PKG,universe,pending,,,,,,
AS,universe,pending,,,,,,
ESS,universe,pending,,,,,,
SNA,universe,pending,,,,,,
ULS,universe,pending,,,,,,
RBA,universe,pending,,,,,,
IREN,universe,pending,,,,,,
DKS,universe,pending,,,,,,
TU,universe,pending,,,,,,
EVRG,universe,pending,,,,,,
ENTG,universe,pending,,,,,,
DD,universe,pending,,,,,,
AA,universe,pending,,,,,,
MRNA,universe,pending,,,,,,
LNT,universe,pending,,,,,,
FTV,universe,pending,,,,,,
RBC,universe,pending,,,,,,
IFF,universe,pending,,,,,,
USFD,universe,pending,,,,,,
LSCC,universe,pending,,,,,,
VTRS,universe,pending,,,,,,
ALB,universe,pending,,,,,,
APG,universe,pending,,,,,,
H,universe,pending,,,,,,
GPN,universe,pending,,,,,,
ROKU,universe,pending,,,,,,
CX,universe,pending,,,,,,
MGA,universe,pending,,,,,,
BEKE,universe,pending,,,,,,
INVH,universe,pending,,,,,,
IP,universe,pending,,,,,,
DOCN,universe,pending,,,,,,
LII,universe,pending,,,,,,
GIS,universe,pending,,,,,,
WY,universe,pending,,,,,,
AMCR,universe,pending,,,,,,
BR,universe,pending,,,,,,
RGLD,universe,pending,,,,,,
WES,universe,pending,,,,,,
CF,universe,pending,,,,,,
FLUT,universe,pending,,,,,,
TTMI,universe,pending,,,,,,
WCC,universe,pending,,,,,,
EWBC,universe,pending,,,,,,
ITT,universe,pending,,,,,,
HST,universe,pending,,,,,,
BWXT,universe,pending,,,,,,
NWS,universe,pending,,,,,,
CDW,universe,pending,,,,,,
SN,universe,pending,,,,,,
ZBH,universe,pending,,,,,,
CDE,universe,pending,,,,,,
SSNC,universe,pending,,,,,,
NVR,universe,pending,,,,,,
TLN,universe,pending,,,,,,
GH,universe,pending,,,,,,
WPC,universe,pending,,,,,,
SITM,universe,pending,,,,,,
PR,universe,pending,,,,,,
NBIX,universe,pending,,,,,,
MAA,universe,pending,,,,,,
KIM,universe,pending,,,,,,
VNOM,universe,pending,,,,,,
BEN,universe,pending,,,,,,
LOGI,universe,pending,,,,,,
AMKR,universe,pending,,,,,,
PAA,universe,pending,,,,,,
IEX,universe,pending,,,,,,
OVV,universe,pending,,,,,,
TXT,universe,pending,,,,,,
GEN,universe,pending,,,,,,
TPG,universe,pending,,,,,,
PTC,universe,pending,,,,,,
SUI,universe,pending,,,,,,
NDSN,universe,pending,,,,,,
RMBS,universe,pending,,,,,,
CG,universe,pending,,,,,,
LDOS,universe,pending,,,,,,
TSCO,universe,pending,,,,,,
WMG,universe,pending,,,,,,
NLY,universe,pending,,,,,,
KSPI,universe,pending,,,,,,
GNRC,universe,pending,,,,,,
LAMR,universe,pending,,,,,,
WSO,universe,pending,,,,,,
OWL,universe,pending,,,,,,
PFGC,universe,pending,,,,,,
XPEV,universe,pending,,,,,,
NVMI,universe,pending,,,,,,
RBRK,universe,pending,,,,,,
BBY,universe,pending,,,,,,
YUMC,universe,pending,,,,,,
DECK,universe,pending,,,,,,
JAZZ,universe,pending,,,,,,
CLH,universe,pending,,,,,,
RTO,universe,pending,,,,,,
AGI,universe,pending,,,,,,
BWA,universe,pending,,,,,,
NWSA,universe,pending,,,,,,
MLI,universe,pending,,,,,,
MOD,universe,pending,,,,,,
DTM,universe,pending,,,,,,
REG,universe,pending,,,,,,
UDR,universe,pending,,,,,,
APTV,universe,pending,,,,,,
NTNX,universe,pending,,,,,,
J,universe,pending,,,,,,
LI,universe,pending,,,,,,
LECO,universe,pending,,,,,,
IESC,universe,pending,,,,,,
SGI,universe,pending,,,,,,
TOST,universe,pending,,,,,,
WSO.B,universe,pending,,,,,,
AAOI,universe,pending,,,,,,
LTM,universe,pending,,,,,,
CHKP,universe,pending,,,,,,
GIB,universe,pending,,,,,,
BALL,universe,pending,,,,,,
SMTC,universe,pending,,,,,,
ARMK,universe,pending,,,,,,
SOLV,universe,pending,,,,,,
DY,universe,pending,,,,,,
MAS,universe,pending,,,,,,
CSL,universe,pending,,,,,,
THC,universe,pending,,,,,,
UNM,universe,pending,,,,,,
OHI,universe,pending,,,,,,
TIGO,universe,pending,,,,,,
CSGP,universe,pending,,,,,,
HTHT,universe,pending,,,,,,
LGN,universe,pending,,,,,,
JLL,universe,pending,,,,,,
AMH,universe,pending,,,,,,
GRAB,universe,pending,,,,,,
GPC,universe,pending,,,,,,
DOC,universe,pending,,,,,,
TRU,universe,pending,,,,,,
RRX,universe,pending,,,,,,
SANM,universe,pending,,,,,,
ARCC,universe,pending,,,,,,
RPM,universe,pending,,,,,,
RGA,universe,pending,,,,,,
GLPI,universe,pending,,,,,,
CNH,universe,pending,,,,,,
EXEL,universe,pending,,,,,,
BBIO,universe,pending,,,,,,
EG,universe,pending,,,,,,
JHX,universe,pending,,,,,,
COO,universe,pending,,,,,,
EVR,universe,pending,,,,,,
ALLY,universe,done,COMPOUNDER,855,900,0.95,2026-06-09,decelerate +55% GLP-1 surge to 15% (vs model 28% cap)/41% margin + High unc (pharma regulated) = $854; agree Wide moat + OVERVALUED at $1135 (40x trailing); cut raw $3305 baseline 4x
